tris,type,size,time
SELECTION_SORT,RANDOM,1,0.0023
SELECTION_SORT,RANDOM,2,0.000151
SELECTION_SORT,RANDOM,4,0.000183
SELECTION_SORT,RANDOM,8,0.000331
SELECTION_SORT,RANDOM,16,0.000709
SELECTION_SORT,RANDOM,32,0.001542
SELECTION_SORT,RANDOM,64,0.004053
SELECTION_SORT,RANDOM,128,0.010237
SELECTION_SORT,RANDOM,256,0.030685
SELECTION_SORT,RANDOM,512,0.093036
SELECTION_SORT,RANDOM,1024,0.319214
SELECTION_SORT,RANDOM,2048,1.13708
SELECTION_SORT,RANDOM,4096,4.33896
SELECTION_SORT,RANDOM,8192,17.0162
SELECTION_SORT,RANDOM,16384,74.4597
SELECTION_SORT,RANDOM,32768,205.152
SELECTION_SORT,RANDOM,65536,773.789
SELECTION_SORT,RANDOM,131072,3058.07
SELECTION_SORT,RANDOM,262144,12195.2
SELECTION_SORT,RANDOM,524288,49285.6
SELECTION_SORT,RANDOM,1048576,195345
SELECTION_SORT,ORDERED,1,0.000145
SELECTION_SORT,ORDERED,2,8.6e-05
SELECTION_SORT,ORDERED,4,8.7e-05
SELECTION_SORT,ORDERED,8,0.000217
SELECTION_SORT,ORDERED,16,0.000369
SELECTION_SORT,ORDERED,32,0.000893
SELECTION_SORT,ORDERED,64,0.001981
SELECTION_SORT,ORDERED,128,0.005128
SELECTION_SORT,ORDERED,256,0.015997
SELECTION_SORT,ORDERED,512,0.056193
SELECTION_SORT,ORDERED,1024,0.213218
SELECTION_SORT,ORDERED,2048,0.872096
SELECTION_SORT,ORDERED,4096,3.56107
SELECTION_SORT,ORDERED,8192,12.3997
SELECTION_SORT,ORDERED,16384,52.1825
SELECTION_SORT,ORDERED,32768,353.467
SELECTION_SORT,ORDERED,65536,2470.63
SELECTION_SORT,ORDERED,131072,14524.1
SELECTION_SORT,ORDERED,262144,51698
SELECTION_SORT,ORDERED,524288,136299
SELECTION_SORT,ORDERED,1048576,365276
SELECTION_SORT,INVERSE,1,0.000171
SELECTION_SORT,INVERSE,2,8.3e-05
SELECTION_SORT,INVERSE,4,8.7e-05
SELECTION_SORT,INVERSE,8,0.000133
SELECTION_SORT,INVERSE,16,0.000245
SELECTION_SORT,INVERSE,32,0.000598
SELECTION_SORT,INVERSE,64,0.001347
SELECTION_SORT,INVERSE,128,0.003956
SELECTION_SORT,INVERSE,256,0.013759
SELECTION_SORT,INVERSE,512,0.05013
SELECTION_SORT,INVERSE,1024,0.188926
SELECTION_SORT,INVERSE,2048,0.856389
SELECTION_SORT,INVERSE,4096,3.35245
SELECTION_SORT,INVERSE,8192,11.5828
SELECTION_SORT,INVERSE,16384,46.9771
SELECTION_SORT,INVERSE,32768,189.699
SELECTION_SORT,INVERSE,65536,754.238
SELECTION_SORT,INVERSE,131072,3005.98
SELECTION_SORT,INVERSE,262144,12077.6
SELECTION_SORT,INVERSE,524288,48639.7
SELECTION_SORT,INVERSE,1048576,196909
INSERTION_SORT,RANDOM,1,8.8e-05
INSERTION_SORT,RANDOM,2,7e-05
INSERTION_SORT,RANDOM,4,8.8e-05
INSERTION_SORT,RANDOM,8,0.000142
INSERTION_SORT,RANDOM,16,0.000225
INSERTION_SORT,RANDOM,32,0.000474
INSERTION_SORT,RANDOM,64,0.001126
INSERTION_SORT,RANDOM,128,0.003029
INSERTION_SORT,RANDOM,256,0.011131
INSERTION_SORT,RANDOM,512,0.039929
INSERTION_SORT,RANDOM,1024,0.151569
INSERTION_SORT,RANDOM,2048,0.593874
INSERTION_SORT,RANDOM,4096,2.39834
INSERTION_SORT,RANDOM,8192,9.56495
INSERTION_SORT,RANDOM,16384,38.9747
INSERTION_SORT,RANDOM,32768,153.183
INSERTION_SORT,RANDOM,65536,621.898
INSERTION_SORT,RANDOM,131072,2463.72
INSERTION_SORT,RANDOM,262144,9864.33
INSERTION_SORT,RANDOM,524288,39615
INSERTION_SORT,RANDOM,1048576,161082
INSERTION_SORT,ORDERED,1,0.000149
INSERTION_SORT,ORDERED,2,9.2e-05
INSERTION_SORT,ORDERED,4,9.4e-05
INSERTION_SORT,ORDERED,8,0.000131
INSERTION_SORT,ORDERED,16,0.000245
INSERTION_SORT,ORDERED,32,0.000488
INSERTION_SORT,ORDERED,64,0.001422
INSERTION_SORT,ORDERED,128,0.004932
INSERTION_SORT,ORDERED,256,0.019099
INSERTION_SORT,ORDERED,512,0.075529
INSERTION_SORT,ORDERED,1024,0.300721
INSERTION_SORT,ORDERED,2048,1.20034
INSERTION_SORT,ORDERED,4096,4.80385
INSERTION_SORT,ORDERED,8192,19.3413
INSERTION_SORT,ORDERED,16384,77.9562
INSERTION_SORT,ORDERED,32768,309.903
INSERTION_SORT,ORDERED,65536,1234.21
INSERTION_SORT,ORDERED,131072,4953.87
INSERTION_SORT,ORDERED,262144,19897.9
INSERTION_SORT,ORDERED,524288,79520.5
INSERTION_SORT,ORDERED,1048576,322657
INSERTION_SORT,INVERSE,1,0.00016
INSERTION_SORT,INVERSE,2,0.000121
INSERTION_SORT,INVERSE,4,9.2e-05
INSERTION_SORT,INVERSE,8,9.6e-05
INSERTION_SORT,INVERSE,16,8.8e-05
INSERTION_SORT,INVERSE,32,8.9e-05
INSERTION_SORT,INVERSE,64,0.000114
INSERTION_SORT,INVERSE,128,0.00014
INSERTION_SORT,INVERSE,256,0.000184
INSERTION_SORT,INVERSE,512,0.000307
INSERTION_SORT,INVERSE,1024,0.000789
INSERTION_SORT,INVERSE,2048,0.001111
INSERTION_SORT,INVERSE,4096,0.00216
INSERTION_SORT,INVERSE,8192,0.004291
INSERTION_SORT,INVERSE,16384,0.008473
INSERTION_SORT,INVERSE,32768,0.016666
INSERTION_SORT,INVERSE,65536,0.030769
INSERTION_SORT,INVERSE,131072,0.062928
INSERTION_SORT,INVERSE,262144,0.126023
INSERTION_SORT,INVERSE,524288,0.374854
INSERTION_SORT,INVERSE,1048576,0.545881
MERGE_SORT,RANDOM,1,0.000174
MERGE_SORT,RANDOM,2,0.000612
MERGE_SORT,RANDOM,4,0.000862
MERGE_SORT,RANDOM,8,0.001567
MERGE_SORT,RANDOM,16,0.003542
MERGE_SORT,RANDOM,32,0.006911
MERGE_SORT,RANDOM,64,0.01338
MERGE_SORT,RANDOM,128,0.027562
MERGE_SORT,RANDOM,256,0.051667
MERGE_SORT,RANDOM,512,0.105293
MERGE_SORT,RANDOM,1024,0.20373
MERGE_SORT,RANDOM,2048,0.411726
MERGE_SORT,RANDOM,4096,1.00619
MERGE_SORT,RANDOM,8192,1.69938
MERGE_SORT,RANDOM,16384,3.41132
MERGE_SORT,RANDOM,32768,6.99031
MERGE_SORT,RANDOM,65536,14.3172
MERGE_SORT,RANDOM,131072,29.1266
MERGE_SORT,RANDOM,262144,58.8123
MERGE_SORT,RANDOM,524288,119.005
MERGE_SORT,RANDOM,1048576,238.753
MERGE_SORT,ORDERED,1,9.7e-05
MERGE_SORT,ORDERED,2,0.000526
MERGE_SORT,ORDERED,4,0.000616
MERGE_SORT,ORDERED,8,0.001493
MERGE_SORT,ORDERED,16,0.003218
MERGE_SORT,ORDERED,32,0.006142
MERGE_SORT,ORDERED,64,0.012321
MERGE_SORT,ORDERED,128,0.024379
MERGE_SORT,ORDERED,256,0.045772
MERGE_SORT,ORDERED,512,0.09268
MERGE_SORT,ORDERED,1024,0.183642
MERGE_SORT,ORDERED,2048,0.369975
MERGE_SORT,ORDERED,4096,0.743308
MERGE_SORT,ORDERED,8192,1.49674
MERGE_SORT,ORDERED,16384,3.05273
MERGE_SORT,ORDERED,32768,6.21898
MERGE_SORT,ORDERED,65536,12.8394
MERGE_SORT,ORDERED,131072,25.8773
MERGE_SORT,ORDERED,262144,51.4859
MERGE_SORT,ORDERED,524288,105.428
MERGE_SORT,ORDERED,1048576,210.694
MERGE_SORT,INVERSE,1,0.000106
MERGE_SORT,INVERSE,2,0.000493
MERGE_SORT,INVERSE,4,0.000742
MERGE_SORT,INVERSE,8,0.001459
MERGE_SORT,INVERSE,16,0.00336
MERGE_SORT,INVERSE,32,0.006242
MERGE_SORT,INVERSE,64,0.012128
MERGE_SORT,INVERSE,128,0.024952
MERGE_SORT,INVERSE,256,0.046843
MERGE_SORT,INVERSE,512,0.094099
MERGE_SORT,INVERSE,1024,0.185441
MERGE_SORT,INVERSE,2048,0.384573
MERGE_SORT,INVERSE,4096,0.762439
MERGE_SORT,INVERSE,8192,1.53002
MERGE_SORT,INVERSE,16384,3.0758
MERGE_SORT,INVERSE,32768,6.51303
MERGE_SORT,INVERSE,65536,13.0562
MERGE_SORT,INVERSE,131072,26.6273
MERGE_SORT,INVERSE,262144,53.1852
MERGE_SORT,INVERSE,524288,110.337
MERGE_SORT,INVERSE,1048576,216.425
COUNTING_SORT,RANDOM,1,0.000949
COUNTING_SORT,RANDOM,2,0.009112
COUNTING_SORT,RANDOM,4,0.016601
COUNTING_SORT,RANDOM,8,0.038966
COUNTING_SORT,RANDOM,16,0.038593
COUNTING_SORT,RANDOM,32,0.041408
COUNTING_SORT,RANDOM,64,0.03877
COUNTING_SORT,RANDOM,128,0.040301
COUNTING_SORT,RANDOM,256,0.043189
COUNTING_SORT,RANDOM,512,0.043615
COUNTING_SORT,RANDOM,1024,0.046085
COUNTING_SORT,RANDOM,2048,0.049964
COUNTING_SORT,RANDOM,4096,0.058697
COUNTING_SORT,RANDOM,8192,0.077414
COUNTING_SORT,RANDOM,16384,0.152916
COUNTING_SORT,RANDOM,32768,0.274171
COUNTING_SORT,RANDOM,65536,0.544158
COUNTING_SORT,RANDOM,131072,1.55832
COUNTING_SORT,RANDOM,262144,2.98689
COUNTING_SORT,RANDOM,524288,5.34063
COUNTING_SORT,RANDOM,1048576,11.8251
COUNTING_SORT,ORDERED,1,0.001184
COUNTING_SORT,ORDERED,2,0.0204
COUNTING_SORT,ORDERED,4,0.008571
COUNTING_SORT,ORDERED,8,0.041411
COUNTING_SORT,ORDERED,16,0.039219
COUNTING_SORT,ORDERED,32,0.037628
COUNTING_SORT,ORDERED,64,0.041729
COUNTING_SORT,ORDERED,128,0.042838
COUNTING_SORT,ORDERED,256,0.042448
COUNTING_SORT,ORDERED,512,0.044694
COUNTING_SORT,ORDERED,1024,0.047613
COUNTING_SORT,ORDERED,2048,0.051408
COUNTING_SORT,ORDERED,4096,0.058804
COUNTING_SORT,ORDERED,8192,0.071767
COUNTING_SORT,ORDERED,16384,0.203592
COUNTING_SORT,ORDERED,32768,0.414125
COUNTING_SORT,ORDERED,65536,0.459725
COUNTING_SORT,ORDERED,131072,1.23724
COUNTING_SORT,ORDERED,262144,2.65914
COUNTING_SORT,ORDERED,524288,4.7908
COUNTING_SORT,ORDERED,1048576,8.51366
COUNTING_SORT,INVERSE,1,0.001605
COUNTING_SORT,INVERSE,2,0.024297
COUNTING_SORT,INVERSE,4,0.027852
COUNTING_SORT,INVERSE,8,0.031084
COUNTING_SORT,INVERSE,16,0.037181
COUNTING_SORT,INVERSE,32,0.040145
COUNTING_SORT,INVERSE,64,0.041759
COUNTING_SORT,INVERSE,128,0.041899
COUNTING_SORT,INVERSE,256,0.043363
COUNTING_SORT,INVERSE,512,0.044187
COUNTING_SORT,INVERSE,1024,0.046751
COUNTING_SORT,INVERSE,2048,0.050419
COUNTING_SORT,INVERSE,4096,0.057909
COUNTING_SORT,INVERSE,8192,0.120033
COUNTING_SORT,INVERSE,16384,0.21942
COUNTING_SORT,INVERSE,32768,0.388723
COUNTING_SORT,INVERSE,65536,0.516814
COUNTING_SORT,INVERSE,131072,1.47849
COUNTING_SORT,INVERSE,262144,2.58318
COUNTING_SORT,INVERSE,524288,4.10638
COUNTING_SORT,INVERSE,1048576,8.05403
NATIVE_SORT,RANDOM,1,0.000731
NATIVE_SORT,RANDOM,2,0.000223
NATIVE_SORT,RANDOM,4,0.00021
NATIVE_SORT,RANDOM,8,0.000485
NATIVE_SORT,RANDOM,16,0.000529
NATIVE_SORT,RANDOM,32,0.000816
NATIVE_SORT,RANDOM,64,0.001455
NATIVE_SORT,RANDOM,128,0.002714
NATIVE_SORT,RANDOM,256,0.00601
NATIVE_SORT,RANDOM,512,0.012226
NATIVE_SORT,RANDOM,1024,0.027106
NATIVE_SORT,RANDOM,2048,0.060884
NATIVE_SORT,RANDOM,4096,0.130492
NATIVE_SORT,RANDOM,8192,0.286783
NATIVE_SORT,RANDOM,16384,0.680103
NATIVE_SORT,RANDOM,32768,1.50835
NATIVE_SORT,RANDOM,65536,3.48918
NATIVE_SORT,RANDOM,131072,7.803
NATIVE_SORT,RANDOM,262144,14.8917
NATIVE_SORT,RANDOM,524288,27.3559
NATIVE_SORT,RANDOM,1048576,57.1226
NATIVE_SORT,ORDERED,1,0.000694
NATIVE_SORT,ORDERED,2,0.000251
NATIVE_SORT,ORDERED,4,0.00021
NATIVE_SORT,ORDERED,8,0.000356
NATIVE_SORT,ORDERED,16,0.000452
NATIVE_SORT,ORDERED,32,0.000477
NATIVE_SORT,ORDERED,64,0.000843
NATIVE_SORT,ORDERED,128,0.000753
NATIVE_SORT,ORDERED,256,0.001237
NATIVE_SORT,ORDERED,512,0.001327
NATIVE_SORT,ORDERED,1024,0.00262
NATIVE_SORT,ORDERED,2048,0.004403
NATIVE_SORT,ORDERED,4096,0.007827
NATIVE_SORT,ORDERED,8192,0.014827
NATIVE_SORT,ORDERED,16384,0.031286
NATIVE_SORT,ORDERED,32768,0.056605
NATIVE_SORT,ORDERED,65536,0.113776
NATIVE_SORT,ORDERED,131072,0.226262
NATIVE_SORT,ORDERED,262144,0.425917
NATIVE_SORT,ORDERED,524288,0.870045
NATIVE_SORT,ORDERED,1048576,2.48521
NATIVE_SORT,INVERSE,1,0.000746
NATIVE_SORT,INVERSE,2,0.000181
NATIVE_SORT,INVERSE,4,0.000149
NATIVE_SORT,INVERSE,8,0.000308
NATIVE_SORT,INVERSE,16,0.000339
NATIVE_SORT,INVERSE,32,0.000337
NATIVE_SORT,INVERSE,64,0.000371
NATIVE_SORT,INVERSE,128,0.000471
NATIVE_SORT,INVERSE,256,0.000921
NATIVE_SORT,INVERSE,512,0.000814
NATIVE_SORT,INVERSE,1024,0.001303
NATIVE_SORT,INVERSE,2048,0.002404
NATIVE_SORT,INVERSE,4096,0.004156
NATIVE_SORT,INVERSE,8192,0.008905
NATIVE_SORT,INVERSE,16384,0.034579
NATIVE_SORT,INVERSE,32768,0.034978
NATIVE_SORT,INVERSE,65536,0.06941
NATIVE_SORT,INVERSE,131072,0.144837
NATIVE_SORT,INVERSE,262144,0.292572
NATIVE_SORT,INVERSE,524288,0.587051
NATIVE_SORT,INVERSE,1048576,1.84245
HEAP_SORT,RANDOM,1,0.000149
HEAP_SORT,RANDOM,2,0.000107
HEAP_SORT,RANDOM,4,0.000147
HEAP_SORT,RANDOM,8,0.000297
HEAP_SORT,RANDOM,16,0.000493
HEAP_SORT,RANDOM,32,0.001106
HEAP_SORT,RANDOM,64,0.002456
HEAP_SORT,RANDOM,128,0.005343
HEAP_SORT,RANDOM,256,0.011519
HEAP_SORT,RANDOM,512,0.024107
HEAP_SORT,RANDOM,1024,0.053134
HEAP_SORT,RANDOM,2048,0.116549
HEAP_SORT,RANDOM,4096,0.248899
HEAP_SORT,RANDOM,8192,0.535608
HEAP_SORT,RANDOM,16384,1.15702
HEAP_SORT,RANDOM,32768,2.48719
HEAP_SORT,RANDOM,65536,5.73159
HEAP_SORT,RANDOM,131072,11.6017
HEAP_SORT,RANDOM,262144,25.5607
HEAP_SORT,RANDOM,524288,56.1617
HEAP_SORT,RANDOM,1048576,121.349
HEAP_SORT,ORDERED,1,0.000194
HEAP_SORT,ORDERED,2,0.000109
HEAP_SORT,ORDERED,4,0.000121
HEAP_SORT,ORDERED,8,0.000252
HEAP_SORT,ORDERED,16,0.000451
HEAP_SORT,ORDERED,32,0.000831
HEAP_SORT,ORDERED,64,0.00194
HEAP_SORT,ORDERED,128,0.004084
HEAP_SORT,ORDERED,256,0.009354
HEAP_SORT,ORDERED,512,0.019566
HEAP_SORT,ORDERED,1024,0.04132
HEAP_SORT,ORDERED,2048,0.087432
HEAP_SORT,ORDERED,4096,0.18534
HEAP_SORT,ORDERED,8192,0.390003
HEAP_SORT,ORDERED,16384,0.813034
HEAP_SORT,ORDERED,32768,1.69468
HEAP_SORT,ORDERED,65536,3.52409
HEAP_SORT,ORDERED,131072,7.06624
HEAP_SORT,ORDERED,262144,14.9034
HEAP_SORT,ORDERED,524288,38.5689
HEAP_SORT,ORDERED,1048576,65.479
HEAP_SORT,INVERSE,1,0.000169
HEAP_SORT,INVERSE,2,0.000111
HEAP_SORT,INVERSE,4,0.000148
HEAP_SORT,INVERSE,8,0.000282
HEAP_SORT,INVERSE,16,0.000494
HEAP_SORT,INVERSE,32,0.000965
HEAP_SORT,INVERSE,64,0.002073
HEAP_SORT,INVERSE,128,0.004512
HEAP_SORT,INVERSE,256,0.00971
HEAP_SORT,INVERSE,512,0.020303
HEAP_SORT,INVERSE,1024,0.042588
HEAP_SORT,INVERSE,2048,0.088576
HEAP_SORT,INVERSE,4096,0.182689
HEAP_SORT,INVERSE,8192,0.381231
HEAP_SORT,INVERSE,16384,0.791888
HEAP_SORT,INVERSE,32768,1.81669
HEAP_SORT,INVERSE,65536,3.40584
HEAP_SORT,INVERSE,131072,7.31735
HEAP_SORT,INVERSE,262144,15.1251
HEAP_SORT,INVERSE,524288,31.4038
HEAP_SORT,INVERSE,1048576,69.5749
QUICK_SORT,RANDOM,1,0.00019
QUICK_SORT,RANDOM,2,7.9e-05
QUICK_SORT,RANDOM,4,0.000126
QUICK_SORT,RANDOM,8,0.000247
QUICK_SORT,RANDOM,16,0.000462
QUICK_SORT,RANDOM,32,0.001048
QUICK_SORT,RANDOM,64,0.002021
QUICK_SORT,RANDOM,128,0.004595
QUICK_SORT,RANDOM,256,0.010022
QUICK_SORT,RANDOM,512,0.021145
QUICK_SORT,RANDOM,1024,0.043764
QUICK_SORT,RANDOM,2048,0.093271
QUICK_SORT,RANDOM,4096,0.19554
QUICK_SORT,RANDOM,8192,0.399962
QUICK_SORT,RANDOM,16384,0.865004
QUICK_SORT,RANDOM,32768,1.82115
QUICK_SORT,RANDOM,65536,3.90132
QUICK_SORT,RANDOM,131072,8.04306
QUICK_SORT,RANDOM,262144,16.222
QUICK_SORT,RANDOM,524288,31.9761
QUICK_SORT,RANDOM,1048576,62.8392
QUICK_SORT,ORDERED,1,0.00012
QUICK_SORT,ORDERED,2,6.1e-05
QUICK_SORT,ORDERED,4,0.00011
QUICK_SORT,ORDERED,8,0.000176
QUICK_SORT,ORDERED,16,0.000258
QUICK_SORT,ORDERED,32,0.000422
QUICK_SORT,ORDERED,64,0.000614
QUICK_SORT,ORDERED,128,0.001036
QUICK_SORT,ORDERED,256,0.001446
QUICK_SORT,ORDERED,512,0.00256
QUICK_SORT,ORDERED,1024,0.005516
QUICK_SORT,ORDERED,2048,0.011107
QUICK_SORT,ORDERED,4096,0.023792
QUICK_SORT,ORDERED,8192,0.054223
QUICK_SORT,ORDERED,16384,0.122001
QUICK_SORT,ORDERED,32768,0.277932
QUICK_SORT,ORDERED,65536,0.662284
QUICK_SORT,ORDERED,131072,1.60876
QUICK_SORT,ORDERED,262144,3.76711
QUICK_SORT,ORDERED,524288,7.15239
QUICK_SORT,ORDERED,1048576,12.4397
QUICK_SORT,INVERSE,1,6.8e-05
QUICK_SORT,INVERSE,2,6e-05
QUICK_SORT,INVERSE,4,8.1e-05
QUICK_SORT,INVERSE,8,0.000138
QUICK_SORT,INVERSE,16,0.000177
QUICK_SORT,INVERSE,32,0.000257
QUICK_SORT,INVERSE,64,0.000428
QUICK_SORT,INVERSE,128,0.000667
QUICK_SORT,INVERSE,256,0.001105
QUICK_SORT,INVERSE,512,0.002281
QUICK_SORT,INVERSE,1024,0.004474
QUICK_SORT,INVERSE,2048,0.010214
QUICK_SORT,INVERSE,4096,0.022005
QUICK_SORT,INVERSE,8192,0.050151
QUICK_SORT,INVERSE,16384,0.114025
QUICK_SORT,INVERSE,32768,0.266381
QUICK_SORT,INVERSE,65536,0.655021
QUICK_SORT,INVERSE,131072,1.59851
QUICK_SORT,INVERSE,262144,3.61908
QUICK_SORT,INVERSE,524288,7.55427
QUICK_SORT,INVERSE,1048576,12.2781
